Target,Lab,Cq,SQ
TargetD,LabD,46.66,4
TargetD,LabD,37.35,4
TargetD,LabD,36.15,4
TargetD,LabD,35.7,4
TargetD,LabD,37.75,4
TargetD,LabD,36.28,4
TargetD,LabD,36.79,4
TargetD,LabD,35.72,4
TargetD,LabD,N/A,0.8
TargetD,LabD,N/A,0.8
TargetD,LabD,N/A,0.8
TargetD,LabD,38.12,0.8
TargetD,LabD,38.03,0.8
TargetD,LabD,N/A,0.8
TargetD,LabD,N/A,0.8
TargetD,LabD,38.36,0.8
TargetD,LabD,37.13,0.8
TargetD,LabD,N/A,0.8
TargetD,LabD,N/A,0.8
TargetD,LabD,35.82,0.8
TargetD,LabD,N/A,0.8
TargetD,LabD,N/A,0.8
TargetD,LabD,37.18,0.8
TargetD,LabD,36.55,0.8
TargetD,LabD,N/A,0.8
TargetD,LabD,36.22,0.8
TargetD,LabD,36.88,0.8
TargetD,LabD,39.43,0.8
TargetD,LabD,37.64,0.8
TargetD,LabD,37.66,0.8
TargetD,LabD,37.07,0.8
TargetD,LabD,36.62,0.8
TargetD,LabD,N/A,0.16
TargetD,LabD,N/A,0.16
TargetD,LabD,N/A,0.16
TargetD,LabD,37.81,0.16
TargetD,LabD,N/A,0.16
TargetD,LabD,N/A,0.16
TargetD,LabD,N/A,0.16
TargetD,LabD,N/A,0.16
TargetD,LabD,N/A,0.16
TargetD,LabD,N/A,0.16
TargetD,LabD,N/A,0.16
TargetD,LabD,42.08,0.16
TargetD,LabD,N/A,0.16
TargetD,LabD,38.86,0.16
TargetD,LabD,N/A,0.16
TargetD,LabD,39.63,0.16
TargetD,LabD,N/A,0.16
TargetD,LabD,43.01,0.16
TargetD,LabD,N/A,0.16
TargetD,LabD,N/A,0.16
TargetD,LabD,N/A,0.16
TargetD,LabD,N/A,0.16
TargetD,LabD,38.04,0.16
TargetD,LabD,N/A,0.16
TargetD,LabD,N/A,0.032
TargetD,LabD,N/A,0.032
TargetD,LabD,N/A,0.032
TargetD,LabD,N/A,0.032
TargetD,LabD,N/A,0.032
TargetD,LabD,N/A,0.032
TargetD,LabD,38.49,0.032
TargetD,LabD,N/A,0.032
TargetD,LabD,N/A,0.032
TargetD,LabD,N/A,0.032
TargetD,LabD,N/A,0.032
TargetD,LabD,N/A,0.032
TargetD,LabD,37.47,0.032
TargetD,LabD,N/A,0.032
TargetD,LabD,N/A,0.032
TargetD,LabD,N/A,0.032
TargetD,LabD,N/A,0.032
TargetD,LabD,38.67,0.032
TargetD,LabD,N/A,0.032
TargetD,LabD,N/A,0.032
TargetD,LabD,N/A,0.032
TargetD,LabD,N/A,0.032
TargetD,LabD,N/A,0.032
TargetD,LabD,N/A,0.032
TargetD,LabD,N/A,N/A
TargetD,LabD,N/A,N/A
TargetD,LabD,N/A,N/A
TargetD,LabD,N/A,N/A
TargetD,LabD,N/A,N/A
TargetD,LabD,N/A,N/A
TargetD,LabD,N/A,N/A
TargetD,LabD,N/A,N/A
TargetD,LabD,N/A,N/A
TargetD,LabD,N/A,N/A
TargetD,LabD,N/A,N/A
TargetD,LabD,N/A,N/A
TargetD,LabD,N/A,N/A
TargetD,LabD,N/A,N/A
TargetD,LabD,N/A,N/A
TargetD,LabD,N/A,N/A
TargetD,LabD,N/A,N/A
TargetD,LabD,N/A,N/A
TargetD,LabD,N/A,N/A
TargetD,LabD,N/A,N/A
TargetD,LabD,N/A,N/A
TargetD,LabD,N/A,N/A
TargetD,LabD,N/A,N/A
TargetD,LabD,N/A,N/A
